University Name,CWUR World University Rankings
Harvard University,1
Massachusetts Institute of Technology,2
Stanford University,3
University of Cambridge,4
University of Oxford,5
Princeton University,6
University of Chicago,7
Columbia University,8
University of Pennsylvania,9
California Institute of Technology,10
Yale University,11
"University of California, Berkeley",12
University of Tokyo,13
Cornell University,14
"University of Michigan, Ann Arbor",15
Johns Hopkins University,16
Northwestern University,17
"University of California, Los Angeles",18
PSL University,19
Duke University,20
University College London,21
University of Illinois at Urbana–Champaign,22
New York University,23
University of Toronto,24
University of Washington,25
Kyoto University,26
University of Wisconsin–Madison,27
McGill University,28
ETH Zurich,29
Imperial College London,30
Seoul National University,31
Paris-Saclay University,32
University of Texas at Austin,33
"University of California, San Diego",34
"University of California, San Francisco",35
University of Copenhagen,36
Karolinska Institute,37
Sorbonne University,38
University of North Carolina at Chapel Hill,39
King's College London,40
Dartmouth College,41
Paris City University,42
Institut Polytechnique de Paris,43
Ludwig Maximilian University of Munich,44
University of Edinburgh,45
Washington University in St. Louis,46
Tsinghua University,47
University of Minnesota - Twin Cities,48
University of British Columbia,49
University of Southern California,50
Peking University,51
Vanderbilt University,52
Pennsylvania State University,53
"University of California, Davis",54
Rockefeller University,55
Free University of Berlin,56
Rutgers University,57
University of Melbourne,58
Ohio State University,59
University of Manchester,60
Humboldt University of Berlin,61
"Texas A&M University, College Station",62
University of Chinese Academy of Sciences,63
University of Zurich,64
Purdue University,65
Brown University,66
Hebrew University of Jerusalem,67
Georgia Institute of Technology,68
University of Colorado Boulder,69
Heidelberg University,70
University of Virginia,71
University of Texas Southwestern Medical Center,72
Utrecht University,73
Weizmann Institute of Science,74
University of Pittsburgh,75
"University of Maryland, College Park",76
University of Alberta,77
University of Oslo,78
Technical University of Munich,79
Shanghai Jiao Tong University,80
"University of California, Irvine",81
University of Birmingham,82
University of Amsterdam,83
University of Florida,84
National University of Singapore,85
Carnegie Mellon University,86
Leiden University,87
Uppsala University,88
University of Göttingen,89
"University of California, Santa Barbara",90
University of Rochester,91
Osaka University,92
University of Arizona,93
University of Bristol,94
Erasmus University Rotterdam,95
National Taiwan University,96
Zhejiang University,97
University of Sydney,98
Boston University,99
Keio University,100
École Polytechnique Fédérale de Lausanne,101
Fudan University,102
University of São Paulo,103
University of Leeds,104
University of Groningen,105
University of Basel,106
University of Queensland,107
Aarhus University,108
University of New South Wales,109
University of Geneva,110
University of Texas MD Anderson Cancer Center,111
Nagoya University,112
Sapienza University of Rome,113
University of Tübingen,114
Indiana University Bloomington,115
University of Utah,116
University of Montreal,117
KU Leuven,118
INSEAD,119
University of Helsinki,120
University of Southampton,121
Ghent University,122
Monash University,123
Australian National University,124
University of Bonn,125
University of Glasgow,126
University of Freiburg,127
University of Science and Technology of China,128
Emory University,129
Sun Yat-sen University,130
Goethe University Frankfurt,131
University of Barcelona,132
Nanyang Technological University,133
University of Liverpool,134
University of Nottingham,135
Case Western Reserve University,136
Huazhong University of Science and Technology,137
Baylor College of Medicine,138
University of Bern,139
KTH Royal Institute of Technology,140
University of Strasbourg,141
University of Iowa,142
Lund University,143
Tohoku University,144
Tufts University,145
Stockholm University,146
Grenoble Alpes University,147
University of Colorado Anschutz Medical Campus,148
VU Amsterdam,149
Michigan State University,150
University of Sheffield,151
University of Western Australia,152
Queen Mary University of London,153
Nanjing University,154
Tel Aviv University,155
Cardiff University,156
Tokyo Institute of Technology,157
Aix-Marseille University,158
Newcastle University,159
Rice University,160
Radboud University,161
University of Massachusetts Amherst,162
University of Hong Kong,163
Korea University,164
Technion – Israel Institute of Technology,165
Yonsei University,166
University of Gothenburg,167
University of Montpellier,168
University of Hamburg,169
University of Padova,170
Icahn School of Medicine at Mount Sinai,171
McMaster University,172
University of Warwick,173
Iowa State University,174
University of Notre Dame,175
Norwegian University of Science and Technology,176
Chinese University of Hong Kong,177
Wageningen University & Research,178
University of Milan,179
Xi'an Jiaotong University,180
University of Bologna,181
Arizona State University,182
Wuhan University,183
Autonomous University of Barcelona,184
University of Alabama at Birmingham,185
University of Cologne,186
University of Lausanne,187
North Carolina State University,188
Western University,189
Sungkyunkwan University,190
Institut national du service public,191
University of Calgary,192
Technical University of Denmark,193
Tianjin University,194
Harbin Institute of Technology,195
University of Kansas,196
Xiamen University,197
University of Connecticut,198
University of Münster,199
University of Lisbon,200
Waseda University,201
Lomonosov Moscow State University,202
Stony Brook University,203
University of Waterloo,204
Brandeis University,205
Shandong University,206
Université catholique de Louvain,207
Sichuan University,208
University of Adelaide,209
University of Georgia,210
Johannes Gutenberg University Mainz,211
University of Vienna,212
University of Ottawa,213
RWTH Aachen University,214
The Scripps Research Institute,215
Hong Kong University of Science and Technology,216
Technical University of Dresden,217
University of Würzburg,218
Tongji University,219
South China University of Technology,220
Hokkaido University,221
Université libre de Bruxelles,222
Jilin University,223
University of Missouri–Columbia,224
Georgetown University,225
Central South University,226
Kiel University,227
Nankai University,228
University of Erlangen–Nuremberg,229
University of Turin,230
KAIST,231
Claude Bernard University Lyon 1,232
University of Illinois at Chicago,233
Charles University in Prague,234
Trinity College Dublin,235
London School of Hygiene & Tropical Medicine,236
University of Miami,237
University of Naples Federico II,238
Yeshiva University,239
Kyushu University,240
Karlsruhe Institute of Technology,241
University of Cincinnati,242
University of Sussex,243
Southeast University,244
University of Reading,245
University of Leicester,246
Complutense University of Madrid,247
Hong Kong Polytechnic University,248
"University of California, Riverside",249
"Soochow University, China",250
University of Texas Health Science Center at Houston,251
University of Bordeaux,252
Maastricht University,253
"University of Tennessee, Knoxville",254
P.N. Lebedev Physical Institute of the Russian Academy of Sciences,255
Paul Sabatier University,256
Wake Forest University,257
Colorado State University,258
City University of Hong Kong,259
Virginia Commonwealth University,260
King Abdulaziz University,261
University of Houston,262
University of Exeter,263
University of Florence,264
Delft University of Technology,265
HEC Paris,266
University of Tsukuba,267
University of Pisa,268
Beihang University,269
University of Cape Town,270
University of Genoa,271
University of Auckland,272
Oregon State University,273
Virginia Tech,274
National and Kapodistrian University of Athens,275
Oregon Health & Science University,276
National Autonomous University of Mexico,277
University of East Anglia,278
China Europe International Business School,279
University of Lorraine,280
Leipzig University,281
Dalian University of Technology,282
University of Manitoba,283
University of Valencia,284
Autonomous University of Madrid,285
University of Bergen,286
King Abdullah University of Science and Technology,287
University College Dublin,288
Florida State University,289
