University Name,original_index,Times Ranking,CWUR Ranking,QS Ranking,ARWU Ranking,Webometrics Ranking
University of Oxford,0,1,5.0,4,7,5.0
Harvard University,1,2,1.0,5,1,1.0
University of Cambridge,2,3,4.0,2,4,12.0
Stanford University,3,3,3.0,3,2,2.0
Massachusetts Institute of Technology,4,5,2.0,,,3.0
California Institute of Technology,5,6,10.0,,9,
Princeton University,6,7,6.0,16,6,26.0
"University of California, Berkeley",7,8,12.0,,5,4.0
Yale University,8,9,11.0,18,11,14.0
Imperial College London,9,10,30.0,6,23,34.0
Columbia University,10,11,8.0,22,8,
ETH Zurich,11,11,29.0,9,20,
University of Pennsylvania,13,14,9.0,13,15,11.0
Johns Hopkins University,14,15,16.0,24,14,10.0
Tsinghua University,15,16,47.0,14,26,
Peking University,16,17,51.0,12,34,
University of Toronto,17,18,24.0,34,22,16.0
National University of Singapore,18,19,85.0,,71,47.0
Cornell University,19,20,14.0,20,12,7.0
"University of California, Los Angeles",20,21,18.0,,13,
University of Michigan-Ann Arbor,22,23,15.0,25,28,
New York University,23,24,23.0,,25,23.0
Duke University,24,25,20.0,50,31,21.0
Northwestern University,25,26,17.0,32,30,22.0
University of Washington,26,26,25.0,80,17,7.0
Carnegie Mellon University,27,28,86.0,52,101-150,48.0
University of Edinburgh,28,29,45.0,,,44.0
Technical University of Munich,29,30,79.0,49,56,
University of Hong Kong,30,31,163.0,,,75.0
"University of California, San Diego",31,32,34.0,,21,17.0
University of Melbourne,33,34,58.0,,,40.0
King’s College London,34,35,40.0,37,48,67.0
London School of Economics and Political Science,36,37,324.0,,101-150,213.0
Georgia Institute of Technology,37,38,68.0,88,151-200,62.0
University of British Columbia,39,40,49.0,47,44,27.0
École Polytechnique Fédérale de Lausanne,40,41,101.0,,,90.0
KU Leuven,41,42,118.0,76,95,
Monash University,43,44,123.0,57,75,57.0
Chinese University of Hong Kong,44,45,177.0,,,81.0
McGill University,45,46,28.0,31,73,60.0
University of Illinois at Urbana-Champaign,47,48,22.0,85,49,33.0
Karolinska Institute,48,49,37.0,,41,
University of Texas at Austin,49,50,33.0,72,,
Fudan University,50,51,102.0,34,67,
Shanghai Jiao Tong University,51,52,80.0,46,54,
University of Manchester,53,54,60.0,,,61.0
Seoul National University,55,56,31.0,29,98,
Washington University in St Louis,56,57,46.0,118,27,
The Hong Kong University of Science and Technology,57,58,216.0,40,301-400,
Wageningen University & Research,58,59,178.0,124,151-200,
University of Amsterdam,59,60,83.0,58,101-150,
Brown University,60,61,66.0,63,99,80.0
Australian National University,61,62,124.0,,,79.0
"University of California, Davis",62,63,54.0,102,101-150,37.0
"University of California, Santa Barbara",63,64,90.0,,57,76.0
University of Southern California,64,65,50.0,134,53,31.0
Utrecht University,65,66,73.0,112,54,
Zhejiang University,66,67,97.0,42,36,
Kyoto University,67,68,26.0,36,41,
University of North Carolina at Chapel Hill,68,69,39.0,102,29,28.0
Delft University of Technology,69,70,265.0,61,151-200,
Boston University,70,71,99.0,108,101-150,56.0
University of Science and Technology of China,73,74,128.0,94,62,
University of Groningen,74,75,105.0,145,66,
University of Bristol,75,76,94.0,61,81,
Leiden University,76,77,87.0,131,101-150,
Hong Kong Polytechnic University,78,79,248.0,,,177.0
Erasmus University Rotterdam,79,80,95.0,208,87,
University of Wisconsin-Madison,80,81,27.0,83,33,20.0
Emory University,81,82,129.0,155,101-150,72.0
University of Glasgow,82,82,126.0,81,,136.0
University of Zurich,83,82,64.0,83,59,
