University Name,Times Higher Education (THE) World University Ranking
University of Oxford,1
Harvard University,2
University of Cambridge,3
Stanford University,3
Massachusetts Institute of Technology,5
California Institute of Technology,6
Princeton University,7
"University of California, Berkeley",8
Yale University,9
Imperial College London,10
Columbia University,11
ETH Zurich,11
The University of Chicago,13
University of Pennsylvania,14
Johns Hopkins University,15
Tsinghua University,16
Peking University,17
University of Toronto,18
National University of Singapore,19
Cornell University,20
"University of California, Los Angeles",21
UCL,22
University of Michigan-Ann Arbor,23
New York University,24
Duke University,25
Northwestern University,26
University of Washington,26
Carnegie Mellon University,28
University of Edinburgh,29
Technical University of Munich,30
University of Hong Kong,31
"University of California, San Diego",32
LMU Munich,33
University of Melbourne,34
King’s College London,35
"Nanyang Technological University, Singapore",36
London School of Economics and Political Science,37
Georgia Institute of Technology,38
The University of Tokyo,39
University of British Columbia,40
École Polytechnique Fédérale de Lausanne,41
KU Leuven,42
Universität Heidelberg,43
Monash University,44
Chinese University of Hong Kong,45
McGill University,46
Paris Sciences et Lettres – PSL Research University Paris,47
University of Illinois at Urbana-Champaign,48
Karolinska Institute,49
University of Texas at Austin,50
Fudan University,51
Shanghai Jiao Tong University,52
The University of Queensland,53
University of Manchester,54
The University of Sydney,54
Seoul National University,56
Washington University in St Louis,57
The Hong Kong University of Science and Technology,58
Wageningen University & Research,59
University of Amsterdam,60
Brown University,61
Australian National University,62
"University of California, Davis",63
"University of California, Santa Barbara",64
University of Southern California,65
Utrecht University,66
Zhejiang University,67
Kyoto University,68
University of North Carolina at Chapel Hill,69
Delft University of Technology,70
Boston University,71
UNSW Sydney,71
Charité - Universitätsmedizin Berlin,73
University of Science and Technology of China,74
University of Groningen,75
University of Bristol,76
Leiden University,77
Yonsei University (Seoul campus),78
Hong Kong Polytechnic University,79
Erasmus University Rotterdam,80
University of Wisconsin-Madison,81
Emory University,82
University of Glasgow,82
University of Zurich,82
McMaster University,85
Humboldt University of Berlin,86
University of Tübingen,86
University of Adelaide,88
University of Bonn,89
Sorbonne University,90
Free University of Berlin,91
Korea Advanced Institute of Science and Technology (KAIST),91
Université Paris-Saclay,93
University of Bern,94
"University of California, Irvine",95
Institut Polytechnique de Paris,95
Nanjing University,95
Vanderbilt University,98
City University of Hong Kong,99
RWTH Aachen University,99
University of Basel,101
King Abdulaziz University,101
University of Minnesota,101
"University of Maryland, College Park",104
University of Warwick,104
Michigan State University,106
Ghent University,107
University of Birmingham,108
University of Southampton,108
University of Helsinki,110
University of Montreal,111
Ohio State University (Main campus),112
University of Freiburg,113
University of Copenhagen,114
Université Paris Cité,114
University of Sheffield,114
Aarhus University,117
University of Alberta,118
University of Göttingen,119
Lund University,119
Vrije Universiteit Amsterdam,121
Lancaster University,122
Dartmouth College,123
Queen Mary University of London,124
University of Vienna,124
University of Oslo,126
Purdue University West Lafayette,127
University of Hamburg,128
University of Leeds,128
University of Nottingham,130
